lat,lng,amenity,country,admin,name
-41.1062659,174.8662235,station,NZ,Wellington,Paremata
-41.2960371,174.7943249,viewpoint,NZ,Wellington,Mount Victoria Lookout
-41.289843,174.7944402,fountain,NZ,,Oriental Bay Fountain
-41.2842157,174.775088,station,NZ,Wellington,Lambton
-41.0952881,174.8681844,station,NZ,Wellington,Mana
-41.0838845,174.8672667,station,NZ,Wellington,Plimmerton
-41.154486,174.9822621,golf_course,NZ,Wellington,Manor Park Golf Club
-41.0041512,174.9384055,parking,NZ,Wellington,Lookout north over Kapiti Island and the Kapiti Coast
-41.1041948,174.8747935,kindergarten,NZ,Wellington,Paremata Kindergarten
-41.1144773,174.8670688,kindergarten,NZ,Wellington,Papakowhai Kindergarten
-41.3108958,174.7453145,attraction,NZ,Wellington,Brooklyn Wind Turbine
-41.3058382,174.7634702,cinema,NZ,Wellington,Penthouse Cinema
-41.3293649,174.8370774,ruins,NZ,Wellington,WW2 Bunkers
-41.2807879,174.7700639,fountain,NZ,Wellington,Peace Flame
-41.1232605,174.8522447,attraction,NZ,Wellington,Gear Homestead
-41.0913826,174.8674287,fuel,NZ,Wellington,Z Mana
-41.3293819,174.8135383,hotel,NZ,Wellington,Miramar Golf Links
-41.2943254,174.7841657,cinema,NZ,Wellington,Embassy Theatre
-41.2922255,174.7763033,fountain,NZ,Wellington,The Bucket Fountain
-45.0207925,168.731096,house,NZ,Otago,Frankton
-41.1852807,174.8283365,station,NZ,Wellington,Takapu Road
-41.1692943,174.8282895,station,NZ,Wellington,Tawa
-41.1763557,174.8269788,station,NZ,Wellington,Redwood Station (south platform)
-41.1496643,174.8381199,station,NZ,Wellington,Kenepuru
-41.2233552,174.8047497,station,NZ,Wellington,Johnsonville
-43.5002676,170.0596865,viewpoint,NZ,West Coast,Fox Glacier Lookout
-43.5028118,170.058623,attraction,NZ,West Coast,Fox Glacier
-43.4542996,170.1795134,attraction,NZ,West Coast,Franz Josef Glacier
-41.2579183,174.7663392,place_of_worship,NZ,Wellington,Plymouth Brethren Church
-41.1085901,174.8366623,fire_station,NZ,Wellington,Titahi Bay Volunteer Fire Brigade
-41.0827233,174.8631239,fire_station,NZ,Wellington,Plimmerton Volunteer Fire Brigade
-41.1383522,174.8472175,fire_station,NZ,Wellington,Porirua Fire Station
-41.0989965,174.8664294,ruins,NZ,Wellington,Paremata Barracks
-41.1051546,174.915894,parking,NZ,Wellington,Pauatahanui Wildlife Reserve
-42.1138741,171.3269333,attraction,NZ,West Coast,Pancake Rocks and Blowholes
-41.7631008,171.4576389,viewpoint,NZ,West Coast,Cape Foulwind
-43.2453575,172.6763179,place_of_worship,NZ,Canterbury,Saint Lukes
-43.2483877,172.6688359,pub,NZ,Canterbury,Anglers Arms Tavern
-43.2486205,172.668316,fuel,NZ,Canterbury,Sefton Garage
-40.9871794,174.9543973,station,NZ,Wellington,Paekakariki
-41.2848061,174.7712825,station,NZ,Wellington,Everton
-41.2845035,174.7730857,station,NZ,Wellington,Clifton
-41.1375728,174.8434855,station,NZ,Wellington,Porirua
-41.1384652,174.8393822,motel,NZ,Wellington,Amethyst Court
-41.1429997,174.8449087,motel,NZ,Wellington,Jade Court Motel
-43.2097628,172.6956661,memorial,NZ,Canterbury,Kowai Peace Memorial
-43.3045626,172.5931269,library,NZ,Canterbury,Rangiora Public Library
-41.2850601,174.7695705,station,NZ,Wellington,Salamanca
-41.1314383,174.8392784,library,NZ,Wellington,Porirua City Library
-41.1319102,174.8391926,museum,NZ,Wellington,Pataka  Porirua Museum and Art Gallery
-43.227097,172.7287096,cafe,NZ,Canterbury,Ashworths Cafe
-43.2098747,172.6967731,public_hall,NZ,Canterbury,Balcairn Hall
-43.2469604,172.671955,public_building,NZ,Canterbury,Sefton Hall
-42.8882586,171.5565089,parking,NZ,West Coast,Deaths Corner Lookout
-42.8882128,171.5562541,viewpoint,NZ,West Coast,Otira Lookout
-41.2724691,173.287298,supermarket,NZ,Nelson,Fresh Choice Supermarket
-41.3135638,173.2333501,pub,NZ,Nelson,Turf
-41.3058733,173.219221,pub,NZ,Nelson,The Honest Lawyer
-41.312957,173.2338358,pub,NZ,Nelson,Squires
-41.4517361,172.8367291,pub,NZ,Tasman,Kohatu Hotel
-43.203683,172.7410427,cafe,NZ,Canterbury,Pukeko Junction
-41.218358,174.8116847,motel,NZ,Wellington,Glen Alton Motel
-41.1370348,174.8276843,parking,NZ,Wellington,Colonial Knob Walkway  Camp Elsdon Entrance
-45.9462326,170.3339851,parking,NZ,Otago,Brighton Beach
-45.7333963,170.5994458,parking,NZ,Otago,Doctor's Point
-41.2820715,173.2486442,pub,NZ,Nelson,Smugglers
-43.2493252,172.5286203,place_of_worship,NZ,Canterbury,Saint Martin
-41.2197436,174.807736,place_of_worship,NZ,Wellington,Saint Johns
-43.2473531,172.5388726,place_of_worship,NZ,Canterbury,Saint Brigid
-43.247671,172.5388966,grave_yard,NZ,Canterbury,St Brigids Church Cemetery
-41.29546,173.2666505,fuel,NZ,Nelson,Caltex
-41.2954294,173.2781757,attraction,NZ,Nelson,Viewing Platform
-36.9923107,175.5527035,attraction,NZ,Waikato,Rapaura Water Gardens
-43.5606545,172.5874915,place_of_worship,NZ,Canterbury,Rowley Ave Bible Chapel
-43.5545106,172.5908533,place_of_worship,NZ,Canterbury,Carmelite Monastery
-35.2657854,174.0817689,attraction,NZ,Northland,The Treaty House
-36.3920453,174.7176904,cafe,NZ,,Sandspit Cafe
-43.6015601,172.6474733,parking,NZ,Canterbury,Sugarloaf Car Park
-43.7220666,172.5963832,cafe,NZ,Canterbury,Iris Garden
-43.632662,172.6225185,viewpoint,NZ,Canterbury,Lookout Rock
-44.7190935,168.2776931,shelter,NZ,Otago,Old Routeburn Shelter
-44.7269336,168.170501,shelter,NZ,Southland,Harris Saddle
-44.8032844,168.1582434,viewpoint,NZ,Southland,Earland Falls
-36.3935257,174.7282317,camp_site,NZ,Auckland,family park Sandspit
-36.760697,175.4974025,fuel,NZ,Waikato,bp
-36.828106,175.7897557,attraction,NZ,,Cathedral Cove
-43.5329646,172.6388814,hotel,NZ,Canterbury,Hotel So
-43.6957654,172.413663,camp_site,NZ,Canterbury,Coes Ford
-36.7857501,174.8930752,slipway,NZ,,Yankee Wharf
-38.6870024,176.06922,information,NZ,Waikato,Taupo i-Site Visitor Information Centre
-43.5333989,172.592461,place_of_worship,NZ,Canterbury,Riccarton Baptist
-43.5348861,172.5899977,convenience,NZ,Canterbury,Harrington Park Dairy
-36.8517246,174.7653992,library,NZ,Auckland,Auckland Central Library
-36.8512381,174.7662434,arts_centre,NZ,Auckland,Auckland Art Gallery
-36.8398765,174.7657354,hotel,NZ,Auckland,Auckland Hilton
-37.990046,177.1624196,camp_site,NZ,Bay of Plenty,Ohiwa Family Holiday Park
-38.7542407,177.1548049,camp_site,NZ,Hawke's Bay,Waikaremoana Motor Camp
