lat,lng,name,website
-41.2801222,174.7754825,The Terrace Pharmacy,
-41.2866630,174.7759719,Radius Pharmacy,
-41.2875852,174.7754378,Unichem Pharmacy,
-41.2877988,174.7753292,New World Metro,
-41.2824718,174.7756117,Radius Pharmacy,
-41.2932630,174.7731994,Apex Car Rental,
-41.2805603,174.7747499,North Terrace Car Park,
-41.2825051,174.7742653,Clifton Car Park,
-41.2836145,174.7747929,Novotel,
-41.2847432,174.7738231,Quest Atrium,
-41.2929178,174.7757913,Amcal Cuba Mall Pharmacy,
-41.2858296,174.7752628,Travelodge,
-41.3034624,174.7781469,St Pauls,
-41.3019041,174.7798775,Accident and Urgent Medical Centre,http://www.wamc.co.nz/
-41.3019660,174.7797714,After Hours Pharmacy,
-44.1841598,170.1506179,Pines Camp,
-43.7185978,170.0935209,White Horse Hill Camping Area,
-41.3033811,174.7789486,Pizza Hut,
-41.2937253,174.7815293,UFS Pharmacy,
-41.2956135,174.7826081,Domino's Pizza,
-41.2936549,174.7836014,Hannah Playhouse,
-41.2936427,174.7812209,Burger King,
-41.2911375,174.7802529,McDonald's Taranaki Street,
-36.8940297,174.6194450,Night n Day,
-39.6790086,175.8000742,BP Taihape,
-39.9361361,175.5688986,BP,
-39.9372154,175.5684694,Challenge!,
-40.0764550,175.3797268,New World,
-40.2263549,175.5636416,Feilding Hotel,
-40.2253232,175.5640595,Drovers Return,
-40.2248522,175.5666655,BP Feilding,
-40.0687277,175.3758129,Marton Library,
-40.0679639,175.3782749,Countdown,
-39.6770337,175.7985620,New World Taihape,
-43.5302439,172.5753513,NZ Post Office,
-43.5315727,172.5746433,LoneStar Cafe and Bar,http://www.lonestar.co.nz/location/17/riccarton.aspx
-41.2869427,174.7753168,Data General Carpark,
-41.2892277,174.7737351,Boulcott Suites,
-41.2894502,174.7740081,Flagstaff Village,
-41.2899093,174.7740122,Willis Village,
-41.2903608,174.7738320,Stratford Apartment Hotel,
-40.2196513,175.4230339,Z,
-41.2915084,174.7768265,ASB,
-41.2913742,174.7766832,National Bank,
-41.2923438,174.7800592,McDonald's,
-43.5122491,171.5502090,Rakaia Carpark,
-41.2900043,174.7755446,ASB,
-41.2902298,174.7758781,Kiwibank,
-41.2905386,174.7760603,National Bank,
-41.2912158,174.7767126,ANZ,
-41.2915963,174.7766697,Westpac,
-41.2915576,174.7775795,BNZ,
-41.2927099,174.7762302,BNZ,
-41.2926470,174.7760323,ANZ,
-41.2932306,174.7758411,National Bank,
-41.2932276,174.7756628,National Bank,
-41.2942175,174.7751300,Kiwibank,
-41.2944652,174.7752257,Westpac,
-41.2925244,174.7793138,National Bank,
-41.3093427,174.7782458,Ascot Motor Lodge,
-41.3061721,174.7791292,Child Care Centre,
-41.2928649,174.7788397,Burger Fuel,http://www.burgerfuel.com/nz/
-43.3341590,171.9308153,Springfield,
-42.8286653,171.5625958,Otira,
-42.5768849,171.4780171,Moana,
-42.4477362,171.2109804,Mawhera Quay,
-40.1380518,175.6606463,Cheltenham Hotel,
-41.3043273,174.7927439,Hataitai Kindergarten,
-41.2985241,174.7890875,Victoria Bowling Club,
-41.2999389,174.7844691,Rawena's Lodge Backpackers,
-41.2908374,174.7753309,Central City Apartment Hotel,
-41.2903884,174.7755392,Bank of New Zealand,
-43.5718258,172.5709601,BP Petrol Station Halswell Road,
-43.5823444,172.5692397,Challenge Halswell Service Station,
-43.5918197,172.7356730,Gun Emplacements,
-41.2929603,174.7722854,Mark Hutchins Gallery,
